Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
GOLD,Barrick Gold Corp,Common Stock,22.15,$39.39B,Materials,Metals & Mining,Gold
A,Agilent Technologies Inc,Common Stock,127.98,$39.16B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
LHX,L3Harris Technologies Inc,Common Stock,185.92,$39.04B,Industrials,Aerospace & Defense,Aerospace & Defense
AEP,American Electric Power Co Inc,Common Stock,78.6,$39.02B,Utilities,Electric Utilities,Electric Utilities
SYY,Sysco Corporation,Common Stock,76.24,$38.88B,Consumer Staples,Food & Staples Retailing,Food Distributors
JCI,Johnson Controls International Plc,Common Stock,53.58,$38.59B,Industrials,Building Products,Building Products
MFC,Manulife Financial Corp,Common Stock,19.57,$37.97B,Financials,Insurance,Life & Health Insurance
RACE,Ferrari NV,Common Stock,205.35,$37.94B,Consumer Discretionary,Automobiles,Automobile Manufacturers
OKTA,Okta Inc,Common Stock,291.87,$37.79B,Information Technology,IT Services,Internet Services & Infrastructure
PANW,Palo Alto Networks Inc,Common Stock,395.12,$37.62B,Information Technology,Software,Systems Software
SLB,Schlumberger Ltd,Common Stock,26.77,$37.27B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
TROW,T. Rowe Price Group Inc,Common Stock,163.19,$37.21B,Financials,Capital Markets,Asset Management & Custody Banks
BK,Bank of New York Mellon Corp (The),Common Stock,41.93,$37.18B,Financials,Capital Markets,Asset Management & Custody Banks
INFO,IHS Markit Ltd,Common Stock,93.59,$37.11B,Industrials,Professional Services,Research & Consulting Services
CSGP,CoStar Group Inc,Common Stock,939.14,$37.05B,Industrials,Professional Services,Research & Consulting Services
TRV,Travelers Companies Inc (The),Common Stock,145.96,$36.84B,Financials,Insurance,Property & Casualty Insurance
IQV,Iqvia Holdings Inc,Common Stock,192.66,$36.84B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
BF-B,Brown-Forman Corp,Common Stock,76.85,$36.78B,Consumer Staples,Beverages,Distillers & Vintners
ALC,Alcon Inc,Common Stock,74.1,$36.25B,Health Care,Health Care Equipment & Supplies,Health Care Supplies
